用户ID,用户昵称,用户头像地址,评论时间,点赞总数,评论内容
109318002,发呆晒太阳,http://p2.music.126.net/qachf5zcsObvUW-2UL7ptg==/528865138467959.jpg,1456281273332,76090,不知道你们有没有注意到，里面还有一种对文化的包容，当反日情绪最为激烈的时候，蝶衣发现了日本军官里有一个真正懂戏曲的人，一直到最后，他没有后悔给日本军官唱过戏，而是痛惜那个军官死得太早，没能将京剧带到日本。文化是不分国际的，不管是过去，现在还是未来，我们真的十分需要包容。
16028974,钟声108,http://p2.music.126.net/YyEizpt2UrP-mfkTBgDRuA==/1989016534655780.jpg,1429749087674,66109,因为这首歌，昨晚看了《霸王别姬》。破落凌乱世界，人生几多飘零，白送了多少精彩。亲情 ，爱情，政治……让我难以看下去。‘真的要断了过去，让明天好好继续’，如果过去真的可以想断就可断，人生就简单太多了。程蝶衣是纯粹的，纯粹的人难被‘人’接受。
59424950,段懿的小可爱,http://p2.music.126.net/Vdj_9GCeTShW_r1lt5Eutg==/109951163592591914.jpg,1457175259889,64360,陈凯歌拍完《霸王别姬》，所有人都以为这是中国电影的起步，其实不然，这是中国电影的终结，20年来，中国再难出现这样的好作品[强]
106658975,卡巴-老司机,http://p2.music.126.net/3hDMi2znwptx0ef8qIWb1A==/109951162872751305.jpg,1452663933426,57558,不疯魔，不成活。《霸王别姬》当之无愧华语电影巅峰之作。没看一遍都舍不得快进一秒。
109467625,十一和一,http://p2.music.126.net/uFItbYbx1sceIV0RdAEJ7A==/109951163021501139.jpg,1458437587310,44115,小尼姑年方二八 正青春 被师傅削了发 我本是男儿郎 又不是女娇娥
95403089,乐乐蹲乐乐蹲乐乐蹲完可乐蹲,http://p2.music.126.net/r04IjCOtPwESSFxb7fLvJg==/18543263604141588.jpg,1462450501340,43911,我是98年的，不了解张国荣，他的电影一部我也没有看过，只是觉得他唱的歌都很好听，但是我觉得，他去世这么久了，还有这么多人缅怀他，他人一定很好吧。
44869522,嵩弦的吉他,http://p2.music.126.net/WPZQsjRxGu_yqq9BNMsqag==/1419469513450797.jpg,1427848015124,40615,以前我以为有一种鸟一开始飞就会飞到死亡的那一天才落地。其实它什么地方也没去过，那鸟一开始就已经死了。———《阿飞正传》
128438954,再见理想-BEYOND,http://p2.music.126.net/rtmgREwoGG1dzNzgB_CXbw==/1364493983078242.jpg,1456906107307,40000,林夕曾说，张国荣去世后，他私下没有勇气去听他的歌，并说到，张国荣不是个奇怪的人，奇怪的是他周围的人。
61621304,要背很多书的q,http://p2.music.126.net/sJJwY2haKuITsmDqgk4olQ==/109951162835746271.jpg,1434031538021,30067,每个人都有一个痴痴爱着的霸王，你爱的明烈，可他不懂。
89764732,箢菀,http://p2.music.126.net/gcmq2to6W5zOapB_fz5sYw==/3413983630341071.jpg,1454387094862,28241,我是假霸王，你是真虞姬
